Sr.No,Sire's ID/Tag No,Sire's Name,Date of Birth,Sire's Category (Buffalo/Cow),Sire's Sire's Breed,Sire's Dams Breed,Semen Type (Normal/Sexed),Progeny Tested (Yes/No),Imported (Yes/No),Govt. Certified (Yes/No),Category (1 Star/ 3 Star/ 5 Star),Brochure (if any)-UPLOAD,Sire's Dams Yield(kg),Sire's Daughter's Yield(kg),Total Milk Fat (Kg),Avg. Milk Protein(%),Total Milk Protein(kg),Milk Type (A1/A2),Fats (%),Parents average yield (kg),Upload Photo Link,Upload Video Link,List of Bulls Categories,END USER PRICE,Livestoc Cash Incentive Farmer,LIVESTOC CASH USGAE ALLOWED,AI RATE,Distributor Price
,M 8864,,12/5/2010,8,42,,,,,,,,4251,,,,,,,,,,Super Silver,100,25,30,110,100
,72852,,10/1/2008,8,42,,,,,,,,4480,,,,,,,,,,Super Silver,100,25,30,110,100
,M 154,,6/2/2009,8,42,,,,,,,,4400,,,,,,,,,,Gold,219,35,40,130,219
,488023,,,8,42,,,,,,,,3137,,,,,,,,,,Silver,100,20,30,100,100
,581822,,9/20/2014,8,42,,,,,,,,3581,,,,,,,,,,Silver,100,20,30,100,100
,654823,,6/16/2014,8,42,,,,,,,,4299,,,,,,,,,,Super Silver,100,25,30,110,100
,PC 1994,,,8,42,,,,,,,,3833,,,,,,,,,,Silver,100,20,30,100,100
,104640,,,8,42,,,,,,,,3104,,,,,,,,,,Silver,100,20,30,100,100
,M 458,,,8,42,,,,,,,,3277,,,,,,,,,,Silver,100,20,30,100,100
,450330,,7/2/2012,8,42,,,,,,,,4555,,,,,,,,,,Gold,219,35,40,130,219
,PC 796,,8/20/2010,8,42,,,,,,,,4592,,,,,,,,,,Gold,219,35,40,130,219
,M 321,,12/25/2011,8,42,,,,,,,,4000,,,,,,,,,,Super Silver,100,25,30,110,100
,PC 1899,,,8,42,,,,,,,,4101,,,,,,,,,,Super Silver,100,25,30,110,100
,PC 721,,2/5/2010,8,42,,,,,,,,4106,,,,,,,,,,Super Silver,100,25,30,110,100
,PC 2028,,11/18/2015,8,42,,,,,,,,4108,,,,,,,,,,Super Silver,100,25,30,110,100
,654878,,8/1/2014,8,42,,,,,,,,4031,,,,,,,,,,Super Silver,100,25,30,110,100
,217704,,9/20/2009,8,42,,,,,,,,4060,,,,,,,,,,Super Silver,100,25,30,110,100
,PC 1899,,8/5/2013,8,42,,,,,,,,4101,,,,,,,,,,Super Silver,100,25,30,110,100
,M 477,,10/7/2015,8,42,,,,,,,,4001,,,,,,,,,,Super Silver,100,25,30,110,100
,689904,,,8,42,,,,,,,,3480,,,,,,,,,,Silver,100,20,30,100,100
,PC 999,,30-1202010,8,42,,,,,,,,4282,,,,,,,,,,Super Silver,100,25,30,110,100
,M 466,,8/14/2015,8,42,,,,,,,,4610,,,,,,,,,,Gold,219,35,40,130,219
,450330,,,8,42,,,,,,,,4555,,,,,,,,,,Gold,219,35,40,130,219
,767255,,,8,42,,,,,,,,3066.13,,,,,,,,,,Silver,100,20,30,100,100
,M 384,,7/6/2013,8,42,,,,,,,,4544,,,,,,,,,,Gold,219,35,40,130,219
,PC 721,,,8,42,,,,,,,,4106,,,,,,,,,,Super Silver,100,25,30,110,100
